id,platform,title,content,rating,version,author,updated
13650012511,iOS/iPadOS,越来越好用,什么同时接听电话呢,5,2.5.1,17ultra by Leica,2026-01-18 18:19:26
13644611965,iOS/iPadOS,很不错,挺方便的可以和其他手机互传实况,5,2.5.1,我是一个蘑菇🍄‍🟫,2026-01-17 09:40:06
13644345659,iOS/iPadOS,不稳定,iPhone的消息小米手机几乎都是收不到,3,2.5.1,SundayJune16,2026-01-17 08:20:55
13644006411,iOS/iPadOS,优化解锁和断连问题妙控键盘的适配度,在平板上使用时只要触动到平板屏幕就会断连，希望能够改进，还有进入加密应用时不可以输密码解锁，有点麻烦，配合平板的妙控键盘有些按键不可以用，其余的不错！,4,2.5.1,琚🔥,2026-01-17 06:45:21
13642640429,iOS/iPadOS,整体还行，就是比较卡,iPhone打开小米微信，帧率很低，触控反馈也很慢。,4,2.5.1,四惠晚上,2026-01-16 22:21:55
13642580797,iOS/iPadOS,学生使用校园网无法连接。。。。,建议优化一下,3,2.5.1,嘻嘻嘻103,2026-01-16 21:54:21
13638969106,iOS/iPadOS,文件拷贝与移动不便利,文件拷贝与移动不便利，没有想象中那么互联互通,4,2.5.200,大鹏 1980,2026-01-15 23:30:09
13635675811,iOS/iPadOS,自己看看,小米手机熄屏iPhone就聊不了天了 拉完了,1,2.5.1,无敌飞飞syf,2026-01-15 02:48:56
13634891532,iOS/iPadOS,80分还有进步空间,挺好，双持很方便,5,2.5.1,普通人124578568号,2026-01-14 20:32:27
13632593591,iOS/iPadOS,解锁老是错误,，每次连接都要解锁，解锁还要拿小米，这样跟脱裤子放屁有啥区别。然后好不容易连接上了，听语音听不到，语音在原机发出，苹果肯定听不到，,1,2.5.1,性感韩语,2026-01-14 06:28:14
13627724231,iOS/iPadOS,不能用,iPad和Mac都试了就是扫描不到,1,2.5.200,sanxhuwdc,2026-01-12 22:54:40
13627337275,iOS/iPadOS,好,好,5,2.5.1,那就开口闭口不好,2026-01-12 19:46:41
13626853525,iOS/iPadOS,"haoyong,zhenhaoyong","haoyong,zhenhaoyong",5,2.5.200,Carpenter123,2026-01-12 16:34:50
13625199797,iOS/iPadOS,小米15非常好用,太棒了，喜欢小米➕苹果,5,2.5.200,幸运馍馍,2026-01-12 06:48:40
13624335394,iOS/iPadOS,上班摸鱼神器,1,5,2.5.200,原谅战车,2026-01-12 01:31:32
13623911753,iOS/iPadOS,很难用,没怎么用这个app，缓存就高达20GGB，其他功能也不好用,1,2.5.1,游鱼恋情,2026-01-11 22:01:09
13623707360,iOS/iPadOS,微信回复,在苹果上面回消息连个返回都没有，只能硬退出然后重新进去，开发人员是没有用过这个app的功能吗？,1,2.5.1,很认真123,2026-01-11 20:22:32
13623682237,iOS/iPadOS,定位不更新啊…,已经是20小时前定位了,1,2.5.1,1005金金子,2026-01-11 20:11:11
13623490583,iOS/iPadOS,流畅度,流畅度一般,3,2.5.1,"小汤姆111,",2026-01-11 18:50:34
13620267078,iOS/iPadOS,很好,很好,5,2.5.200,小米爱ipone,2026-01-11 00:23:34
13619970628,iOS/iPadOS,实用app,非常实用，生态衔接的很好，对于安卓、iOS和Windows、Mac四修用户很友好,5,2.5.200,盖儿比较闲,2026-01-10 22:10:13
13619200605,iOS/iPadOS,功能不完善,那个NFC贴贴的功能它不准 它有时候根本出发不了,3,2.5.1,nb……lopjn,2026-01-10 17:05:31
13616473791,iOS/iPadOS,能不能苹果接听小米来电,开发人员能不能新增苹果接听小米来电，每次都是只显示来电，跑过去拿手机对方就挂掉电话了,3,2.5.1,米粉一袋,2026-01-10 02:11:06
13616387721,iOS/iPadOS,连接手机卡顿,之前就不卡，为什么更新应用后卡顿,1,2.5.200,110、823,2026-01-10 01:36:08
13616034435,iOS/iPadOS,不能从手机复制文件到电脑,那有什么用？？？,1,2.5.200,umicha,2026-01-09 23:03:44
13615346525,iOS/iPadOS,镜像,iPhone镜像不错但是不够丝滑期待下一波继续更新改善,4,2.5.1,睾婉,2026-01-09 18:19:58
13613532919,iOS/iPadOS,卡,非常的难用,1,2.5.1,魫先生,2026-01-09 07:54:17
13611743349,iOS/iPadOS,可以,继续改进,5,2.5.1,录音,2026-01-08 20:23:37
13611175673,iOS/iPadOS,妙享桌面用不了，其他功能间歇性失灵,妙享桌面用不了，其他功能间歇性失灵,3,2.5.200,蝎子莱莱¥,2026-01-08 16:32:55
13604751987,iOS/iPadOS,太卡了,还是有很多不方便的地方,3,2.5.1,枫格12138,2026-01-07 02:08:07
13604088515,iOS/iPadOS,太棒了！！！！,真的好用！！！我可以上班在电脑上回手机消息了！！！hh,5,2.5.200,naclmomo,2026-01-06 20:56:10
13603144523,iOS/iPadOS,垃圾，不能下载全部相册，,没见过这么垃圾的App，不能下载全部的相册刷新也看不了真垃圾,1,2.5.1,改不了了之的爱情公寓的,2026-01-06 14:35:03
13601011124,iOS/iPadOS,666非得写标题,我说实话小米手机和iPad的互联比和小米平板的互联做得好👍,5,2.5.1,非得要有个昵称吗,2026-01-06 02:41:01
13600993184,iOS/iPadOS,快点出个苹果手机能控制小米平板的妙享桌面功能吧急求！！！,快点出个苹果手机能控制小米平板的妙享桌面功能吧急求！！！,5,2.5.1,热心青年张先生,2026-01-06 02:33:39
13600222846,iOS/iPadOS,用这个聊微信都卡,卡,3,2.5.1,饼八,2026-01-05 20:33:02
13596138012,iOS/iPadOS,shen jing bing,"ta ma de, xiao si le, apple store ping lun bu neng shu ru zhong wen",3,2.5.200,bu neng shu ru zhong wen,2026-01-04 19:26:35
13593407019,iOS/iPadOS,非常不好用,最开始说是兼容苹果，兼容的很差。发图片发过来的为什么从7mb压缩到了2mb？,2,2.5.1,kxxxkg,2026-01-04 04:30:34
13592998391,iOS/iPadOS,修复了可以启动的BUG,"这下好了,更新完不能启动了,这技术力笑死人",1,2.5.200,Walrin,2026-01-04 02:00:08
13591874193,iOS/iPadOS,增加文本即时复制粘贴功能,在苹果电脑或者小米手机上复制，可以在两台设备上直接粘贴,5,2.5.200,非常高冷,2026-01-03 18:11:07
13588820910,iOS/iPadOS,的确方便很多,如果能打开软件就可以共通，会更方便，,5,2.5.200,没有隐私的家长朋友,2026-01-03 01:22:49
13588710146,iOS/iPadOS,小米和苹果互联的无上法宝,希望更多生态壁垒可以被打通,5,2.5.200,Nick_thl,2026-01-03 00:39:03
13588096443,iOS/iPadOS,卡,卡,1,2.5.1,韦隔阂,2026-01-02 20:33:24
13587182337,iOS/iPadOS,OS升级 26 后无法使用,赶紧适配,5,2.5.200,half米粉,2026-01-02 15:18:08
