username,user_url,rating,time,content,votes,comment_id
老K特别冒险,https://www.douban.com/people/DAOMA66/,4,2025-10-17 20:22:58,能想出被反向强奸的也是个人才,5670,4594209826
阿莫多瓦特了,https://www.douban.com/people/155935307/,3,2025-09-24 09:43:31,当然是反川普、反政府主义，甚至是反美国的，但是美国人一思考，上帝就发笑。用极端白人种族主义、游击队和犬儒的吃喝玩乐，似乎就是对保守但话语权愈加扩大的右派、激进但无能入局逐渐溃败的左派、持续观望混吃等死的躺平的群体的撕裂式描摹，交叉黑人白人的种族讨论、美墨边境令人发指的非人道主义困境、反堕胎的政策，不断再战、彼此交锋的是互不能容的立场，但也正因如此，人物从未处于一种真正的困境之中，只为了体现不同群体的焦虑难耐、彷徨无助、毅然决断、自以为是等不同的精神状态而存在——斗争得太久，面目模糊得早已忘记为什么出发，因为只有保持斗下去才是存在的唯一方式。最后在高低起伏不断的公路上的追车戏份无愧为全片最大的高潮，宛如过山车一般心脏砰砰直跳！实际上Sean Penn的人设最饱满、最出彩；女儿的角色太工具人,1673,4649130437
Giraaaaaffe.,https://www.douban.com/people/84114738/,4,2025-09-28 11:54:01,需要sensei拯救我的生活,4183,4652319714
Dreaming,https://www.douban.com/people/4702334/,4,2025-10-17 00:29:08,没有人觉得西恩潘在这里很像吴奇隆吗？🐶,3295,4667455600
罐罐,https://www.douban.com/people/146736164/,5,2025-10-19 21:37:17,拥有一切让姜文梦寐以求的元素，当代史、革命、找爹、密集台词、华丽色彩、灰色幽默、四字电影名以及美丽的屁股，鉴定为是姜文在梦里才能拍出来的电影,6181,4670570504
低**人口,https://www.douban.com/people/yu2yanthebest/,5,2025-09-26 05:41:51,去TM的政治议题，你们难道不知道什么样的电影，什么样的调度，什么样的故事设计是好看的吗？,3504,4573267966
99bu88,https://www.douban.com/people/146386153/,4,2025-10-19 00:59:51,willa最后让爸给暗号爸给不出来willa给他一枪崩了也挺神的,2457,4669927898
双月鲲鹏,https://www.douban.com/people/82776486/,5,2025-10-18 14:39:50,天天闹着要激进革命的人，手上干的活就是放火打劫，反手就是卖光所有队友。嘴上说着种族主义和清除非法移民的人，身体却很诚实地背叛了立场。与其大张旗鼓搞身份政治，还不如糊里糊涂安心度日，对不上暗号就对不上暗号吧，谁在乎那些破玩意，过着抱孩子暖炕的生活直接开摆才重要，不然连死都不知道怎么死的。,2760,4660372562
EternalSummer,https://www.douban.com/people/157420903/,5,2025-09-26 10:13:50,其实只想给四星但无奈右翼白男和短评的精神白男实在太好笑,2564,4650684479
同志亦凡人中文站,https://www.douban.com/people/3540441/,4,2025-09-24 18:46:26,160分钟完全不够看，PTA这是奔着电视剧去拍的啊！极化时代的黑色喜剧，三分狗血七分荒诞，极左极右一战再战。剧情蛇形走位，虽说是商业片，却有很多反高潮反套路的作者巧思。再多点打戏我可以当你是武侠片...,1867,4649483764
Methy,https://www.douban.com/people/citywork/,5,2025-10-05 23:38:58,或许在PTA眼里，此时美国唯一有效的下层建筑不再是一条antifa的游击地道、也并非白人男孩们会员制的末日地堡，而是拉美社区里处变不惊、上跃下潜的蜂窝网络——在美式直来直往的左冲右突里面有机生长的孔洞空间。就像 Willa 在海潮般的连续坡道里借助一点波能浪势，就可以让狂冲而来的肌肉车自我毁灭：这是曲线与直线的斗争，be water my friend.,1486,4659070731
桃桃林林,https://www.douban.com/people/qijiuzhiyue/,4,2025-09-25 00:13:03,音乐很出色，西恩·潘也很出色，小李的表演也很可爱。大概就是青春不再，他们那一代革命者已经落幕了，并与这个时代格格不入了。但，除了那些政治讽刺与往日情怀以及搞笑的部分，其实情感核心更多是在讲父爱，很温柔的一部电影。,1246,4649776705
华丽挚爱,https://www.douban.com/people/193384988/,4,2025-10-18 00:39:26,结尾起伏公路那段很爽。,970,4669075526
亵渎电影,https://www.douban.com/people/zhangzongqian/,4,2025-09-25 00:37:36,PTA的剧本灵感来自是托马斯·品钦的《葡萄园》，他写了一个有点不像他的剧本，却拍得个人辨识度极高，是一场非常有趣的观影体验，看完满脑子都是马丁·斯科赛斯那个ABSOLUTE CINEMA的表情包。我很快就看进去了，跟着角色的性格和人物之间的关系在走，并没有觉得动作场面有多么的激烈，反而人与人之间的亲密关系更有戏剧张力，更吸引我，小李子在很多戏份里的表演处理得很讽刺，很荒诞，跟整部电影的气质很搭，导演对这种黑色喜剧式的分寸拿捏非常到位，观影过程中周围的人都在忍不住发笑。坐等上映，再去刷一遍IMAX！,977,4649800871
