username,user_url,title,review_url,rating,time,summary,useful_count,reply_count
白头豕,https://www.douban.com/people/42726241/,《一战再战》：美国左翼斗士们的狗哨集结号,https://movie.douban.com/review/17155705/,5,2025-10-18 12:57:44,这篇影评可能有剧透《一战再战》是第三次世界大战和美国内战的阴云之下，美国左翼电影人的一部号召左翼丧家犬们重新振作集结，准备反抗的狗哨电影。 狗哨电影的调性 然而我都不确定这算不算“狗哨”了，电影里以斗争为导向的左翼意识形态过于浓烈，或者说含“革”量高到演都不演了；可转眼一看影...,1132,291
Methy,https://www.douban.com/people/citywork/,隐形的革命，兼论曲线如何战胜直线,https://movie.douban.com/review/17122115/,5,2025-10-06 01:53:41,"这篇影评可能有剧透They are in themselves double: a hybrid, an alloy, a twin formation——D&G 在二元对立的声浪中，鲜少有影评提及在影片中举足轻重，真正影响故事走势的拉美社群形象——但被忽略正是他们的优势。在暴力且煽动性十足的革命史里（如影片开头），他们作为面目模糊的人群被解救...",580,45
雨苔思音,https://www.douban.com/people/66009504/,年度院线最佳，Real Cinema！,https://movie.douban.com/review/17156962/,5,2025-10-19 08:49:07,这篇影评可能有剧透《一战再战》或许并不适合所有观众，但绝对能让喜欢电影的人大饱眼福爱不释手，一场精妙编排快节奏故事之上演绎的视听盛宴，甚至让人禁不住想在IMAX屏幕重温的这般美妙作品。 是的，配乐！ 配乐就是《一战再战》的灵魂，从开头一直到结尾绵延不绝的配乐撑起了半部电影，时而轰...,365,119
锈湖学者伊连恩,https://www.douban.com/people/83898491/,Willa是极左和极右的孩子,https://movie.douban.com/review/17096694/,5,2025-09-26 13:18:33,这篇影评可能有剧透标题就是严重剧透。 非常平铺直叙并且观影经历非常好的电影。 Willa的妈是Perfidia是个反政府组织的成员。电影开始于这个revolutioner组织解放拘谨非法移民的camp。Perfidia在这次行动中遇到了Steven，perfidia说出了她的宣言：我是来这里发动战争的，我要free XXX，free XXX…...,408,225
高帆,https://www.douban.com/people/200526183/,白左的疯癫和建制派的裤裆是天生的一对,https://movie.douban.com/review/17106192/,4,2025-09-30 23:43:33,这篇影评可能有剧透1、黑妞和小李子为什么要干革命？ 黑妞的妈妈说她是天生的不安分，也就回答了美国社会的白左为啥那么左，他们自己也不知道为啥，就是天生的，就是为了左而左，为了折腾而折腾，目标和手段的高度统一。这种极端存粹的精神浪漫主义吸引了很多人，人生在世充满了困惑，人总是需要...,359,57
云中,https://www.douban.com/people/windbo/,PTA搞搞震,https://movie.douban.com/review/17159334/,5,2025-10-20 19:02:15,这篇影评可能有剧透一个艺术片导演拍商业片，能做到的理想状态之一，就是《一战再战》。 保留了近年PTA的个性化标签，比如浅景深的人物中景状态（最难拍好的一种景别），绿木的一贯先锋爵士，人物内心总是处在崩得很紧的弦上，类型杂交后产生的复杂情绪，这一切被非常利落的剪辑给串联起来，形成...,102,12
石新雨,https://www.douban.com/people/226358861/,时间并不存在，但它依旧控制着我们,https://movie.douban.com/review/17161495/,3,2025-10-22 13:17:38,这篇影评可能有剧透本文最先发布于澎湃新闻，文 石新雨、TWY “结束了，终于——我的伍德斯托克音乐节，我的金色摇滚年华，我的迷幻旅行，我的革命。”——托马斯·品钦《葡萄园》 时间并不存在，但它依旧控制着我们。什么样的时间？对于保罗·托马斯·安德森来说，至少在过去的二十年中，他的电...,139,21
montage,https://www.douban.com/people/149042792/,政治是假？情感是真？什么才是一战再战？,https://movie.douban.com/review/17130750/,4,2025-10-08 14:41:57,这篇影评可能有剧透【其实是个短评但写不下了就这样了，内含大量剧透】 场面调度视听设计都是上乘，特别是这次对于配乐的利用，音乐全程以不同层次不同形态出现，完整参与叙事表达。对加州沙漠景观的利用也很重要，vistavision专门为此存在，起伏连绵的公路不仅造就结尾别出心裁的追车场面，同时...,67,58
Parity,https://www.douban.com/people/191096149/,革命未竟与保守回潮的时代割裂,https://movie.douban.com/review/17103203/,5,2025-09-29 22:19:56,# Vistavision 5+ 十六年岁月蹉跎如一瞬，恍惚间过去大半个世纪，60s的激进左派革命终究未竟，转眼便要直面20s新法西斯主义回潮的恶果。相比现实成倍放大了对立强度，嫁接不同时代（缩略那些强度低的）的革命，正如在对立派系的叙事线间（剪辑上省去铺垫和串联）仅保留行动的发...,91,4
欧,https://www.douban.com/people/Omnivore_03343/,为cinema流泪,https://movie.douban.com/review/17154210/,5,2025-10-17 14:59:40,（首发于公众号“陀螺电影”） 想想《魅影缝匠》：影片末尾的几个场景，角色的情感经历了从“爱”到“恨”的极端异化，旋即又被拉至绝对的“爱”。在这个情感辩证法的精湛演示中，我们不禁怀疑：什么是情感？无法稳定的，在权力与依赖中不断转变、甚至自我否定的建构？对此PTA...,108,13
莫选好片,https://www.douban.com/people/64192242/,那些年老李拒演的电影角色，损失天价片酬也在所不惜,https://movie.douban.com/review/17159629/,4,2025-10-20 22:40:11,这篇影评可能有剧透莱昂纳多·迪卡普里奥的《一战再战》全球热映。 尽管豆瓣开分8.1，口碑始终稳健，却不是传统意义上的爽片，也没有在票房上取得太好的成绩。 内地首周票房2000万不到，全球上映将近一个月，票房只有1.62亿。 对比1.4亿美元的预算，难言成功。 从《不一样的天空》中的智障少年到...,136,44
异见者,https://www.douban.com/people/TheDissidents/,杂谈｜图像和稻草人,https://movie.douban.com/review/17160831/,4,2025-10-21 21:42:12,"这篇影评可能有剧透文 /  唯唯 责编 / 宇宙兔 排版&制图 /  阿崽 全文约2800字 阅读需要7分钟 简单描述我要描述的；迅速理解我将理解的。 1. 在那之前，我想起了一些例子。 齐泽克曾经对罗西里尼的名作《德意志零年》（Germania anno zero, 1948）做过一次精彩的论述，并将这一论述作为一个重要的...",79,7
